National Highway Traffic Safety Administration (NHTSA) Motor Vehicle Crash Data Querying and Reporting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fatal Motor Vehicle Crashes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filter Selected: Crash Date (Month): February,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Years: 2010-2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fatal Motor Vehicle Crashes 1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crash Date (Year),Crash Date (Day),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,Total
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,67,64,61,83,80,70,66,61,62,51,55,69,58,73,59,55,62,66,64,84,66,66,51,53,57,62,92,73,0,"1,830"
2011,69,31,77,78,88,82,50,58,73,55,61,79,81,63,61,55,69,76,94,76,70,50,69,53,68,77,71,46,0,"1,880"
2012,72,66,65,81,83,61,56,55,58,84,83,87,67,66,74,74,79,101,73,65,55,74,84,86,92,76,72,61,77,"2,127"
2013,84,87,91,80,65,76,54,64,68,75,44,62,65,71,61,85,79,58,63,71,54,81,81,68,60,58,74,73,0,"1,952"
2014,99,82,65,65,60,44,65,66,72,47,55,60,53,73,89,65,60,43,59,82,81,90,86,62,50,62,69,89,0,"1,893"
2015,74,63,60,75,70,82,85,96,49,73,63,69,80,97,84,67,70,63,51,82,84,84,59,55,49,53,63,83,0,"1,983"
2016,91,76,64,87,82,89,86,76,56,79,71,102,111,94,82,66,68,79,103,127,97,83,63,72,75,78,90,102,77,"2,426"
2017,79,80,68,96,90,83,65,69,68,82,108,80,67,81,81,75,106,110,103,63,65,66,90,108,100,85,72,72,0,"2,312"
2018,64,95,91,84,94,71,88,82,85,77,75,79,72,78,80,79,105,98,67,92,63,68,96,118,90,82,77,70,0,"2,320"
2019,89,94,101,77,87,74,78,83,94,86,68,62,70,66,97,83,68,61,65,64,79,94,99,85,56,73,76,76,0,"2,205"
2020,112,97,86,84,70,68,88,99,104,71,69,66,68,101,80,82,73,77,72,77,96,112,91,74,76,80,84,91,105,"2,453"
Total,900,835,829,890,869,800,781,809,789,780,752,815,792,863,848,786,839,832,814,883,810,868,869,834,773,786,840,836,259,"23,381"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Sources:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1Fatality Analysis Reporting System (FARS): 2010-2020 Final File,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Report Generated: Tuesday, April 25, 2023 (4:02:31 PM)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"VERSION 5.5, RELEASED APR 03, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,